homotopy,parameter,value,theoretical_fold_viable,twoD_bistable_proxy,twoD_gap,sustained_oscillation,m_bar,capbind_frac,capgap_mean,phi_bar,period2_strength,R2_over_R1,d_amp,q_amp,k_amp,h_amp,E,G,epsilon,eta_h,eta_k,beta_n,lambda_D,theta0
beta_n,beta_n,0.7000000000,1,0,0.0000000000,0,0.0092400790,0.0000000000,0.0000000000,0.2507388833,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,12.0000000000,-2.0000000000
beta_n,beta_n,0.7133333333,1,0,0.0000000000,0,0.0091483811,0.0000000000,0.0000000000,0.2506659801,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7133333333,12.0000000000,-2.0000000000
beta_n,beta_n,0.7266666667,1,0,0.0000000000,0,0.0090693153,0.0000000000,0.0000000000,0.2506031577,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7266666667,12.0000000000,-2.0000000000
beta_n,beta_n,0.7400000000,1,0,0.0000000000,0,0.0090012458,0.0000000000,0.0000000000,0.2505491004,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7400000000,12.0000000000,-2.0000000000
beta_n,beta_n,0.7533333333,1,0,0.0000000000,0,0.0089427199,0.0000000000,0.0000000000,0.2505026429,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7533333333,12.0000000000,-2.0000000000
beta_n,beta_n,0.7666666667,1,0,0.0000000000,0,0.0088924557,0.0000000000,0.0000000000,0.2504627588,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7666666667,12.0000000000,-2.0000000000
beta_n,beta_n,0.7800000000,1,0,0.0000000000,0,0.0088493282,0.0000000000,0.0000000000,0.2504285490,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7800000000,12.0000000000,-2.0000000000
beta_n,beta_n,0.7933333333,1,0,0.0000000000,0,0.0088123543,0.0000000000,0.0000000000,0.2503992285,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7933333333,12.0000000000,-2.0000000000
beta_n,beta_n,0.8066666667,1,0,0.0000000000,0,0.0087806778,0.0000000000,0.0000000000,0.2503741152,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.8066666667,12.0000000000,-2.0000000000
beta_n,beta_n,0.8200000000,1,0,0.0000000000,0,0.0087535559,0.0000000000,0.0000000000,0.2503526172,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.8200000000,12.0000000000,-2.0000000000
beta_n,beta_n,0.8333333333,1,0,0.0000000000,0,0.0087303453,0.0000000000,0.0000000000,0.2503342227,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.8333333333,12.0000000000,-2.0000000000
beta_n,beta_n,0.8466666667,1,0,0.0000000000,0,0.0087104905,0.0000000000,0.0000000000,0.2503184901,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.8466666667,12.0000000000,-2.0000000000
beta_n,beta_n,0.8600000000,1,0,0.0000000000,0,0.0086935124,0.0000000000,0.0000000000,0.2503050388,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.8600000000,12.0000000000,-2.0000000000
beta_n,beta_n,0.8733333333,1,0,0.0000000000,0,0.0086789988,0.0000000000,0.0000000000,0.2502935413,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.8733333333,12.0000000000,-2.0000000000
beta_n,beta_n,0.8866666667,1,0,0.0000000000,0,0.0086665953,0.0000000000,0.0000000000,0.2502837163,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.8866666667,12.0000000000,-2.0000000000
beta_n,beta_n,0.9000000000,1,0,0.0000000000,0,0.0086559973,1.0000000000,0.0000166905,0.2502753222,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.9000000000,12.0000000000,-2.0000000000
beta_n,beta_n,0.9133333333,1,0,0.0000000000,0,0.0086469439,1.0000000000,0.0000348160,0.2502681519,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.9133333333,12.0000000000,-2.0000000000
beta_n,beta_n,0.9266666667,1,0,0.0000000000,0,0.0086392111,1.0000000000,0.0000503080,0.2502620280,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.9266666667,12.0000000000,-2.0000000000
beta_n,beta_n,0.9400000000,1,0,0.0000000000,0,0.0086326072,1.0000000000,0.0000635458,0.2502567984,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.9400000000,12.0000000000,-2.0000000000
beta_n,beta_n,0.9533333333,1,0,0.0000000000,0,0.0086269682,1.0000000000,0.0000748553,0.2502523330,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.9533333333,12.0000000000,-2.0000000000
beta_n,beta_n,0.9666666667,1,0,0.0000000000,0,0.0086221534,1.0000000000,0.0000845156,0.2502485204,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.9666666667,12.0000000000,-2.0000000000
beta_n,beta_n,0.9800000000,1,0,0.0000000000,0,0.0086180428,1.0000000000,0.0000927661,0.2502452656,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.9800000000,12.0000000000,-2.0000000000
beta_n,beta_n,0.9933333333,1,0,0.0000000000,0,0.0086145336,1.0000000000,0.0000998115,0.2502424871,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.9933333333,12.0000000000,-2.0000000000
beta_n,beta_n,1.0066666667,1,0,0.0000000000,0,0.0086115381,1.0000000000,0.0001058274,0.2502401153,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,1.0066666667,12.0000000000,-2.0000000000
beta_n,beta_n,1.0200000000,1,0,0.0000000000,0,0.0086089811,1.0000000000,0.0001109636,0.2502380908,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,1.0200000000,12.0000000000,-2.0000000000
beta_n,beta_n,1.0333333333,1,0,0.0000000000,0,0.0086067986,1.0000000000,0.0001153484,0.2502363628,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,1.0333333333,12.0000000000,-2.0000000000
beta_n,beta_n,1.0466666667,1,0,0.0000000000,0,0.0086049358,1.0000000000,0.0001190916,0.2502348879,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,1.0466666667,12.0000000000,-2.0000000000
beta_n,beta_n,1.0600000000,1,0,0.0000000000,0,0.0086033459,1.0000000000,0.0001222868,0.2502336291,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,1.0600000000,12.0000000000,-2.0000000000
beta_n,beta_n,1.0733333333,1,0,0.0000000000,0,0.0086019889,1.0000000000,0.0001250142,0.2502325548,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,1.0733333333,12.0000000000,-2.0000000000
beta_n,beta_n,1.0866666667,1,0,0.0000000000,0,0.0086008309,1.0000000000,0.0001273421,0.2502316380,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,1.0866666667,12.0000000000,-2.0000000000
