homotopy,parameter,value,theoretical_fold_viable,twoD_bistable_proxy,twoD_gap,sustained_oscillation,m_bar,capbind_frac,capgap_mean,phi_bar,period2_strength,R2_over_R1,d_amp,q_amp,k_amp,h_amp,E,G,epsilon,eta_h,eta_k,beta_n,lambda_D,theta0
lambda_D,lambda_D,12.0000000000,1,0,0.0000000000,0,0.0092400790,0.0000000000,0.0000000000,0.2507388833,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,12.0000000000,-2.0000000000
lambda_D,lambda_D,12.1333333333,1,0,0.0000000000,0,0.0091955460,0.0000000000,0.0000000000,0.2507034721,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,12.1333333333,-2.0000000000
lambda_D,lambda_D,12.2666666667,1,0,0.0000000000,0,0.0091540267,0.0000000000,0.0000000000,0.2506704672,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,12.2666666667,-2.0000000000
lambda_D,lambda_D,12.4000000000,1,0,0.0000000000,0,0.0091153236,0.0000000000,0.0000000000,0.2506397097,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,12.4000000000,-2.0000000000
lambda_D,lambda_D,12.5333333333,1,0,0.0000000000,0,0.0090792512,0.0000000000,0.0000000000,0.2506110504,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,12.5333333333,-2.0000000000
lambda_D,lambda_D,12.6666666667,1,0,0.0000000000,0,0.0090456357,0.0000000000,0.0000000000,0.2505843497,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,12.6666666667,-2.0000000000
lambda_D,lambda_D,12.8000000000,1,0,0.0000000000,0,0.0090143144,0.0000000000,0.0000000000,0.2505594768,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,12.8000000000,-2.0000000000
lambda_D,lambda_D,12.9333333333,1,0,0.0000000000,0,0.0089851346,0.0000000000,0.0000000000,0.2505363095,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,12.9333333333,-2.0000000000
lambda_D,lambda_D,13.0666666667,1,0,0.0000000000,0,0.0089579534,0.0000000000,0.0000000000,0.2505147334,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,13.0666666667,-2.0000000000
lambda_D,lambda_D,13.2000000000,1,0,0.0000000000,0,0.0089326371,0.0000000000,0.0000000000,0.2504946412,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,13.2000000000,-2.0000000000
