homotopy,parameter,value,theoretical_fold_viable,twoD_bistable_proxy,twoD_gap,sustained_oscillation,m_bar,capbind_frac,capgap_mean,phi_bar,period2_strength,R2_over_R1,d_amp,q_amp,k_amp,h_amp,E,G,epsilon,eta_h,eta_k,beta_n,lambda_D,theta0
theta0,theta0,-2.0000000000,1,0,0.0000000000,0,0.0092400790,0.0000000000,0.0000000000,0.2507388833,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,12.0000000000,-2.0000000000
theta0,theta0,-2.0500000000,1,0,0.0000000000,0,0.0097362685,0.0000000000,0.0000000000,0.2511341821,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,12.0000000000,-2.0500000000
theta0,theta0,-2.1000000000,1,0,0.0000000000,0,0.0105676942,0.0000000000,0.0000000000,0.2517995890,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,12.0000000000,-2.1000000000
theta0,theta0,-2.1500000000,1,0,0.0000000000,0,0.0118812445,0.0000000000,0.0000000000,0.2528584444,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,12.0000000000,-2.1500000000
theta0,theta0,-2.2000000000,1,0,0.0000000000,0,0.0137921896,0.0000000000,0.0000000000,0.2544149141,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,12.0000000000,-2.2000000000
theta0,theta0,-2.2500000000,1,0,0.0000000000,0,0.0163199079,0.0000000000,0.0000000000,0.2565014376,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,12.0000000000,-2.2500000000
theta0,theta0,-2.3000000000,1,0,0.0000000000,0,0.0193812153,0.0000000000,0.0000000000,0.2590674132,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,12.0000000000,-2.3000000000
theta0,theta0,-2.3500000000,1,0,0.0000000000,0,0.0228476513,0.0000000000,0.0000000000,0.2620192994,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,12.0000000000,-2.3500000000
theta0,theta0,-2.4000000000,1,0,0.0000000000,0,0.0266017628,0.0000000000,0.0000000000,0.2652647806,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,12.0000000000,-2.4000000000
theta0,theta0,-2.4500000000,1,0,0.0000000000,0,0.0305580952,0.0000000000,0.0000000000,0.2687321028,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,12.0000000000,-2.4500000000
theta0,theta0,-2.5000000000,1,0,0.0000000000,0,0.0346607933,0.0000000000,0.0000000000,0.2723709915,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,12.0000000000,-2.5000000000
theta0,theta0,-2.5500000000,1,0,0.0000000000,0,0.0388748433,0.0000000000,0.0000000000,0.2761474791,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,12.0000000000,-2.5500000000
theta0,theta0,-2.6000000000,1,0,0.0000000000,0,0.0431783735,0.0000000000,0.0000000000,0.2800386253,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,12.0000000000,-2.6000000000
theta0,theta0,-2.6500000000,1,0,0.0000000000,0,0.0475574386,0.0000000000,0.0000000000,0.2840286370,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,12.0000000000,-2.6500000000
theta0,theta0,-2.7000000000,1,0,0.0000000000,0,0.0520028212,0.0000000000,0.0000000000,0.2881063142,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,12.0000000000,-2.7000000000
theta0,theta0,-2.7500000000,1,0,0.0000000000,0,0.0565081538,0.0000000000,0.0000000000,0.2922634344,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,12.0000000000,-2.7500000000
theta0,theta0,-2.8000000000,1,0,0.0000000000,0,0.0610688342,0.0000000000,0.0000000000,0.2964937415,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,12.0000000000,-2.8000000000
theta0,theta0,-2.8500000000,1,0,0.0000000000,0,0.0656814008,0.0000000000,0.0000000000,0.3007923104,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,12.0000000000,-2.8500000000
theta0,theta0,-2.9000000000,1,0,0.0000000000,0,0.0703431717,0.0000000000,0.0000000000,0.3051551419,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,12.0000000000,-2.9000000000
theta0,theta0,-2.9500000000,1,0,0.0000000000,0,0.0750520315,0.0000000000,0.0000000000,0.3095789012,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,12.0000000000,-2.9500000000
theta0,theta0,-3.0000000000,1,0,0.0000000000,0,0.0798063021,0.0000000000,0.0000000000,0.3140607434,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,12.0000000000,-3.0000000000
theta0,theta0,-3.0500000000,1,1,0.5719044137,0,0.0846046618,0.0000000000,0.0000000000,0.3185981958,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,12.0000000000,-3.0500000000
theta0,theta0,-3.1000000000,1,0,0.0065377707,0,0.0894460912,0.0000000000,0.0000000000,0.3231890750,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,12.0000000000,-3.1000000000
theta0,theta0,-3.1500000000,1,1,0.1066553203,0,0.0943298348,0.0000000000,0.0000000000,0.3278314279,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,12.0000000000,-3.1500000000
theta0,theta0,-3.2000000000,1,0,0.0027911636,0,0.0992553732,0.0000000000,0.0000000000,0.3325234878,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,12.0000000000,-3.2000000000
theta0,theta0,-3.2500000000,1,1,0.7619982736,0,0.1042224001,0.0000000000,0.0000000000,0.3372636405,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,12.0000000000,-3.2500000000
theta0,theta0,-3.3000000000,1,1,0.4698217623,0,0.1092308038,0.0000000000,0.0000000000,0.3420503982,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,12.0000000000,-3.3000000000
theta0,theta0,-3.3500000000,1,1,0.9239525506,0,0.1142806527,0.0000000000,0.0000000000,0.3468823792,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,12.0000000000,-3.3500000000
theta0,theta0,-3.4000000000,1,1,0.8908579057,0,0.1193721816,0.0000000000,0.0000000000,0.3517582903,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,12.0000000000,-3.4000000000
theta0,theta0,-3.4500000000,1,1,0.6593549308,0,0.1245057809,0.0000000000,0.0000000000,0.3566769130,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,12.0000000000,-3.4500000000
theta0,theta0,-3.5000000000,1,0,0.0107785034,0,0.1296819877,0.0000000000,0.0000000000,0.3616370915,NaN,NaN,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,1.0000000000,0.0300000000,0.0100000000,0.0300000000,0.7000000000,12.0000000000,-3.5000000000
