n,t_n,q_n,k_n,h_n,d_dot_n,T_n,W_n
1,18015.2265652236,0.3164633718,1.2263305354,0.2110697366,9.1304628222,15.0002500112,13.5141187460
2,18030.2268152348,0.2796548681,1.2266959973,0.2113503673,9.1304698737,20.7499093751,13.2890054494
3,18050.9767246099,0.2979048768,1.2263193630,0.2110639564,9.1304627342,15.0005004167,19.0383351323
4,18065.9772250266,0.2596494110,1.2266840738,0.2113442751,9.1304697383,20.7495931736,13.2894891689
5,18086.7268182002,0.2786022424,1.2263076181,0.2110578660,9.1304626124,15.0493480836,19.0386498060
6,18101.7761662839,0.2495798453,1.2267040243,0.2113611888,9.1304701622,20.7011179603,13.2935435060
7,18122.4772842442,0.2585540343,1.2262957240,0.2110517919,9.1304624768,15.2488210705,18.9903348822
8,18137.7261053146,0.3348563683,1.2267292287,0.2113675222,9.1304701114,20.5810237484,13.5341984674
9,18158.3071290630,0.2645705168,1.2263209022,0.2110702859,9.1304629329,15.1694318144,18.7942979878
10,18173.4765608775,0.3171675176,1.2267186884,0.2113620938,9.1304700786,20.7495776060,13.4567496561
11,18194.2261384834,0.3339347918,1.2263409530,0.2110751144,9.1304628568,15.0005841407,19.0350469809
12,18209.2267226241,0.2986385464,1.2267075411,0.2113563399,9.1304699922,20.7498459200,13.2887258143
13,18229.9765685441,0.3161953689,1.2263303755,0.2110696535,9.1304628212,15.0002480455,19.0374159483
14,18244.9768165896,0.2793654147,1.2266958211,0.2113502756,9.1304698717,20.7499096818,13.2890117100
15,18265.7267262714,0.2976256927,1.2263191946,0.2110638686,9.1304627326,15.0005223192,19.0383459320
16,18280.7272485907,0.2593483061,1.2266839141,0.2113441981,9.1304697365,20.7495710050,13.2894985629
17,18301.4768195957,0.2783121568,1.2263074414,0.2110577739,9.1304626104,15.0627121272,19.0386357482
18,18316.5395317229,0.2562140683,1.2267061128,0.2113617838,9.1304701742,20.6877797451,13.2938398148
19,18337.2273114680,0.2582523809,1.2262955683,0.2110517179,9.1304624751,15.2488081166,18.9769799797
20,18352.4761195846,0.3346045957,1.2267290795,0.2113674449,9.1304701114,20.5925128625,13.5342451187
21,18373.0686324471,0.2702507564,1.2263226977,0.2110708038,9.1304629417,15.1579318079,18.7945597082
22,18388.2265642550,0.3169002666,1.2267185291,0.2113620112,9.1304700777,20.7495872403,13.4452649174
23,18408.9761514953,0.3336820623,1.2263408032,0.2110750366,9.1304628568,15.0005728066,19.0351217915
24,18423.9767243019,0.2983602355,1.2267073733,0.2113562527,9.1304699906,20.7498475173,13.2887246094
25,18444.7265718191,0.3159274619,1.2263302155,0.2110695704,9.1304628203,15.0002461392,19.0374338563
26,18459.7268179583,0.2790761169,1.2266956449,0.2113501839,9.1304698698,20.7499099604,13.2890179769
27,18480.4767279187,0.2973464619,1.2263190259,0.2110637808,9.1304627310,15.0005456783,19.0383566648
28,18495.4772735970,0.2590471235,1.2266837560,0.2113441223,9.1304697348,20.7495474138,13.2895081288
29,18516.2268210108,0.2780217863,1.2263072643,0.2110576816,9.1304626085,15.0752851961,19.0386202262
30,18531.3021062069,0.2624414567,1.2267080752,0.2113623438,9.1304701848,20.6752342375,13.2941640407
31,18551.9773404445,0.2579498260,1.2262954138,0.2110516450,9.1304624734,15.2487928977,18.9644162422
32,18567.2261333422,0.3343518861,1.2267289295,0.2113673672,9.1304701114,20.6033463602,13.5342874974
33,18587.8294797024,0.2755922164,1.2263243878,0.2110712921,9.1304629492,15.1470878959,18.7948479082
34,18602.9765675983,0.3166321015,1.2267183688,0.2113619282,9.1304700767,20.7495964952,13.4344361724
35,18623.7261640935,0.3334280195,1.2263406523,0.2110749583,9.1304628568,15.0005618783,19.0351940724
36,18638.7267259719,0.2980807332,1.2267072043,0.2113561650,9.1304699890,20.7498490915,13.2887238153
37,18659.4765750634,0.3156585148,1.2263300546,0.2110694869,9.1304628193,15.0002442850,19.0374516343
38,18674.4768193484,0.2787856837,1.2266954677,0.2113500918,9.1304698678,20.7499102065,13.2890242994
39,18695.2267295549,0.2970666634,1.2263188568,0.2110636929,9.1304627294,15.0005706392,19.0383673257
40,18710.2273001941,0.2587452190,1.2266835991,0.2113440479,9.1304697331,20.7495222521,13.2895179096
41,18730.9768224462,0.2777313571,1.2263070872,0.2110575894,9.1304626065,15.0871040959,19.0386030733
