n,t_n,q_n,k_n,h_n,d_dot_n,T_n,W_n
1,18018.7260159663,0.3349317552,1.2313111849,0.2120102009,9.1304859925,5.0005992473,17.0101391969
2,18023.7266152137,0.3125716091,1.2330533493,0.2133268498,9.1305184327,30.2501539532,3.2876104066
3,18053.9767691669,0.2882054205,1.2312516357,0.2119717473,9.1304852310,5.0001257393,28.5385233204
4,18058.9768949062,0.2691415235,1.2329977045,0.2132911787,9.1305176391,29.8434814598,3.2887277269
5,18088.8203763660,0.2700626308,1.2312989036,0.2120102298,9.1304862014,5.1560202101,28.0419807874
6,18093.9763965762,0.3269334852,1.2330679503,0.2133355367,9.1305185794,30.7505999434,3.4421928317
7,18124.7269965195,0.2625884656,1.2311636000,0.2119096184,9.1304837239,5.0015551077,29.0406010526
8,18129.7285516273,0.2521804310,1.2329202947,0.2132362129,9.1305163064,28.9978047358,3.2894779437
9,18158.7263563631,0.3270926317,1.2313817635,0.2120651110,9.1304874033,5.5602239556,27.2839975841
10,18164.2865803187,0.2549311518,1.2330296351,0.2133180417,9.1305183033,30.4398206480,3.7956782267
11,18194.7264009667,0.3251742266,1.2312596232,0.2119732572,9.1304851485,5.0002435737,28.7264453025
12,18199.7266445404,0.3094484802,1.2330086567,0.2132943618,9.1305176498,29.7501332987,3.2875747675
13,18229.4767778391,0.2863618659,1.2312789804,0.2119935107,9.1304857708,5.0003150550,28.0388684273
14,18234.4770928941,0.2619760057,1.2330200113,0.2133097952,9.1305180984,30.4990799060,3.2888443083
15,18264.9761728002,0.3322254578,1.2312693277,0.2119797763,9.1304852628,5.0004035907,28.7841486687
16,18269.9765763909,0.3160582199,1.2330178049,0.2133004737,9.1305177757,29.7501898543,3.2874173247
17,18299.7267662452,0.2888565677,1.2312838513,0.2119968721,9.1304858499,5.0002470714,28.0386301605
18,18304.7270133165,0.2638712032,1.2330241905,0.2133126968,9.1305181681,30.4991796281,3.2887663094
19,18335.2261929446,0.3317871610,1.2312711650,0.2119811773,9.1304853006,5.0003922110,28.7843144549
20,18340.2265851556,0.3153143881,1.2330193394,0.2133016831,9.1305178082,29.7502018705,3.2874353606
21,18369.9767870261,0.2843138000,1.2312818034,0.2119958852,9.1304858323,5.0005117520,28.0387141959
22,18374.9772987781,0.2589656258,1.2330221375,0.2133117774,9.1305181484,30.4992027492,3.2889394279
23,18405.4765015274,0.3198825073,1.2312622503,0.2119760510,9.1304852455,5.0001928136,28.7859408600
24,18410.4766943409,0.3031556627,1.2330103297,0.2132965743,9.1305177215,29.7501364318,3.2877543776
25,18440.2268307727,0.2749077924,1.2312755285,0.2119924625,9.1304857588,5.0032018747,28.0389657815
26,18445.2300326474,0.2490497186,1.2330188311,0.2133107473,9.1305181276,30.4963525783,3.2896646603
27,18475.7263852257,0.3258547347,1.2312699864,0.2119809840,9.1304853352,5.0002651967,28.7825935064
28,18480.7266504224,0.3087887198,1.2330176507,0.2133012035,9.1305178189,29.7501888213,3.2875898639
29,18510.4768392437,0.2734726187,1.2312760670,0.2119929227,9.1304857715,5.0045906333,28.0388606087
30,18515.4814298771,0.2471185183,1.2330207239,0.2133123253,9.1305181668,30.4951975510,3.2899562046
31,18545.9766274281,0.3096082851,1.2312568398,0.2119732247,9.1304852172,5.0001305061,28.7825222072
