n,t_n,q_n,k_n,h_n,d_dot_n,T_n,W_n
1,18019.4771844233,0.2577929466,1.2425295386,0.2148413578,9.1305552582,5.1388513527,17.7658331338
2,18024.6160357760,0.2930362165,1.2442943335,0.2161688321,9.1305870631,28.8606231527,3.2981804094
3,18053.4766589287,0.3050963398,1.2425570130,0.2148554702,9.1305555309,5.0001296456,27.1483735919
4,18058.4767885743,0.2847938539,1.2442760120,0.2161559634,9.1305867690,28.9338803175,3.2881783923
5,18087.4106688918,0.3129174508,1.2425679055,0.2148628503,9.1305556822,5.0656804655,27.0446377212
6,18092.4763493572,0.3278687394,1.2443003126,0.2161682156,9.1305869240,28.7504098794,3.3517161614
7,18121.2267592366,0.2892332145,1.2425491427,0.2148518573,9.1305554795,5.0001380851,27.0388738964
8,18126.2268973217,0.2679960079,1.2442674122,0.2161519855,9.1305866911,28.9993714905,3.2886523029
9,18155.2262688122,0.3290038656,1.2425703241,0.2148623097,9.1305555847,5.0003629542,27.2848935551
10,18160.2266317665,0.3098789597,1.2442902098,0.2161632164,9.1305868874,28.7501984981,3.2875006889
11,18188.9768302645,0.2739512745,1.2425417076,0.2148484405,9.1305554170,5.0015908428,27.0391585287
12,18193.9784211073,0.2517112933,1.2442608578,0.2161494465,9.1305866397,28.9980408265,3.2892868135
13,18222.9764619338,0.3213128418,1.2425694762,0.2148627116,9.1305556408,5.0002389892,27.2846943908
14,18227.9767009230,0.3012002197,1.2442884853,0.2161631111,9.1305869095,28.7580058451,3.2877074712
15,18256.7347067681,0.2414523795,1.2425282035,0.2148429543,9.1305553035,5.2412432853,27.0399490199
16,18261.9759500534,0.3362834655,1.2443054207,0.2161709104,9.1305869273,28.7507590990,3.5258757887
17,18290.7267091524,0.2981731624,1.2425545200,0.2148546877,9.1305555301,5.0001133689,27.0388853711
18,18295.7268225213,0.2772861054,1.2442730109,0.2161548991,9.1305867524,28.9986636769,3.2883868613
19,18324.7254861983,0.3380283286,1.2425760519,0.2148653988,9.1305555860,5.0010308001,27.2774270721
20,18329.7265169983,0.3195480275,1.2442962937,0.2161664466,9.1305869266,28.7502906330,3.2876873062
21,18358.4768076314,0.2785515756,1.2425430142,0.2148488001,9.1305554208,5.0006109670,27.0390202505
22,18363.4774185984,0.2568196045,1.2442614326,0.2161491553,9.1305866304,28.9988737054,3.2890204731
23,18392.4762923037,0.3283114331,1.2425732506,0.2148646373,9.1305556456,5.0003512601,27.2846035600
24,18397.4766435638,0.3085932778,1.2442925528,0.2161651762,9.1305869383,28.7502233039,3.2875291131
25,18426.2268668677,0.2688854995,1.2425403943,0.2148481127,9.1305554136,5.0048459191,27.0391581273
26,18431.2317127868,0.2458220631,1.2442629865,0.2161519015,9.1305867005,28.9949520851,3.2899014118
27,18460.2266648718,0.3043629464,1.2425570337,0.2148556336,9.1305555369,5.0001274368,27.2825033813
28,18465.2267923086,0.2839455078,1.2442759261,0.2161560633,9.1305867725,28.7579762570,3.2882011249
29,18493.9847685656,0.2414098976,1.2425316121,0.2148454950,9.1305553648,5.2412258501,27.0401362243
30,18499.2259944157,0.3357532442,1.2443082358,0.2161730564,9.1305869830,28.7507389694,3.5260003549
31,18527.9767333851,0.2941451260,1.2425538893,0.2148546634,9.1305555382,5.0001156865,27.0388857349
32,18532.9768490716,0.2727892284,1.2442719645,0.2161546367,9.1305867505,28.9994094767,3.2885084475
33,18561.9762585483,0.3292919849,1.2425707145,0.2148624491,9.1305555861,5.0003705606,27.2848304607
