n,t_n,q_n,k_n,h_n,d_dot_n,T_n,W_n
1,18003.2268588084,0.2704962870,1.2340586776,0.2126859258,9.1305028232,5.0022205852,1.5164499943
2,18008.2290793936,0.2506262943,1.2358002470,0.2140024982,9.1305349667,29.9961958449,3.2895257664
3,18038.2252752385,0.3392929685,1.2340974027,0.2127056434,9.1305030579,5.0011971132,28.2728413035
4,18043.2264723517,0.3229587801,1.2358390056,0.2140214585,9.1305352944,29.7502471456,3.2877749304
5,18072.9767194973,0.2972571563,1.2340703082,0.2126913211,9.1305029180,5.0000979028,28.0390606083
6,18077.9768174000,0.2791270725,1.2358107948,0.2140067141,9.1305350497,29.7647644208,3.2884362918
7,18107.7415818209,0.2381867528,1.2340483883,0.2126837866,9.1305027870,5.2343471903,28.0416041060
8,18112.9759290111,0.3371561882,1.2358404198,0.2140210654,9.1305351909,29.2513696839,3.5191043826
9,18142.2272986951,0.2570645150,1.2340903690,0.2127121732,9.1305034762,5.2422522108,27.5393369336
10,18147.4695509059,0.3406042149,1.2358884132,0.2140562801,9.1305360151,30.2569929464,3.5278996227
11,18177.7265438523,0.3167310722,1.2340481719,0.2126719212,9.1305023807,5.0001443732,28.5444839691
12,18182.7266882255,0.3037305925,1.2357936737,0.2139904317,9.1305346121,29.2501852723,3.2877584364
13,18211.9768734978,0.2689721913,1.2340876251,0.2127087449,9.1305033843,5.0100015931,27.5399123941
14,18216.9868750909,0.2424034951,1.2358330465,0.2140292081,9.1305356178,30.4895262941,3.2910014005
15,18247.4764013850,0.3249029700,1.2340438709,0.2126681169,9.1305022461,5.0002046712,28.7763671293
16,18252.4766060562,0.3131417156,1.2357905713,0.2139873587,9.1305345087,28.7506115042,3.2874436327
17,18281.2272175604,0.2580928537,1.2341345654,0.2127457136,9.1305042982,5.2491205979,27.0391267003
18,18286.4763381583,0.3290048728,1.2359183557,0.2140806408,9.1305366968,30.7506111596,3.5346384119
19,18317.2269493180,0.2640710912,1.2339717853,0.2126219943,9.1305012591,5.0008485314,29.0395700501
20,18322.2277978494,0.2548889886,1.2357224371,0.2139442090,9.1305335495,28.4986965253,3.2893310034
21,18350.7264943747,0.3202138578,1.2342095784,0.2127932816,9.1305053417,5.7249138789,26.7855208926
22,18356.4514082535,0.3333909662,1.2358780079,0.2140493547,9.1305359074,30.2749831608,4.0118308154
23,18386.7263914144,0.3253371751,1.2340482720,0.2126707994,9.1305023094,5.0002143401,28.5617533395
24,18391.7266057545,0.3131737177,1.2357945509,0.2139897667,9.1305345671,28.7577891346,3.2874425270
25,18420.4843948891,0.2424555842,1.2341331825,0.2127464232,9.1305043221,5.2421669529,27.0396795306
26,18425.7265618419,0.3170735006,1.2359109143,0.2140761285,9.1305366485,30.7510398837,3.5284165216
27,18456.4776017257,0.2543737309,1.2339672935,0.2126194194,9.1305012015,5.0062217992,29.0396162692
28,18461.4838235248,0.2444450202,1.2357243543,0.2139467006,9.1305336140,28.4928714651,3.2899100751
29,18489.9766949900,0.3011578554,1.2341955881,0.2127848758,9.1305052034,5.7496274402,26.7805541937
30,18495.7263224302,0.3295033022,1.2358714658,0.2140443939,9.1305358138,30.2503880128,4.0353103012
31,18525.9767104430,0.2986631544,1.2340277640,0.2126586704,9.1305021136,5.0000746056,28.5391454353
32,18530.9767850487,0.2863421565,1.2357740927,0.2139778136,9.1305343392,28.8623379365,3.2883272879
33,18559.8391229852,0.2791100392,1.2341656556,0.2127655923,9.1305047688,5.1375268626,27.0423885791
34,18564.9766498478,0.3086824863,1.2359076930,0.2140745820,9.1305366409,30.7536217737,3.4240601756
35,18595.7302716215,0.2466364189,1.2339680137,0.2126207625,9.1305012377,5.1066440230,29.0398772743
36,18600.8369156445,0.2794412306,1.2357565403,0.2139657519,9.1305340548,28.3897593101,3.2934349449
37,18629.2266749546,0.3039185595,1.2342023251,0.2127891476,9.1305053010,5.7496683779,26.6774202092
38,18634.9763433325,0.3287835187,1.2358746698,0.2140464654,9.1305358686,30.2503020491,4.0352383193
39,18665.2266453816,0.3073686141,1.2340392108,0.2126655332,9.1305022586,5.0000997061,28.5386116922
40,18670.2267450877,0.2945876142,1.2357850080,0.2139842902,9.1305344831,28.9994495711,3.2880599240
41,18699.2261946587,0.3316027777,1.2341763033,0.2127652815,9.1305045862,5.0005620981,27.2843078205
42,18704.2267567568,0.2924664289,1.2358957687,0.2140673395,9.1305365029,30.9996749440,3.2877884371
43,18735.2264317008,0.3234601611,1.2340013520,0.2126345884,9.1305014312,5.0001416945,29.2863054429
44,18740.2265733953,0.3159946278,1.2357525297,0.2139567870,9.1305337554,28.2502376884,3.2873307544
45,18768.4768110838,0.2787003075,1.2341835726,0.2127783758,9.1305050827,5.7498441234,26.5391135458
46,18774.2266552072,0.3080116376,1.2358600628,0.2140382527,9.1305357612,30.2505440204,4.0366634084
47,18804.4771992276,0.2582157587,1.2340002089,0.2126430572,9.1305017797,5.0061641334,28.5404333905
48,18809.4833633611,0.2448605989,1.2357536340,0.2139679557,9.1305341300,28.9931430647,3.2901782690
49,18838.4765064257,0.3194238039,1.2341714898,0.2127635008,9.1305046152,5.0003209596,27.2801025548
50,18843.4768273853,0.2771993258,1.2358882577,0.2140640118,9.1305364424,30.9995213701,3.2879792883
51,18874.4763487555,0.3269911088,1.2340106287,0.2126411035,9.1305015703,5.0001864314,29.2856864187
52,18879.4765351869,0.3189279185,1.2357611503,0.2139628504,9.1305338903,28.2503060723,3.2872010169
53,18907.7268412591,0.2729964138,1.2341837445,0.2127791652,9.1305051078,5.7498733714,26.5390190332
54,18913.4767146305,0.2998904685,1.2358577219,0.2140374817,9.1305357636,30.2501466228,4.0368277429
55,18943.7268612533,0.2701692247,1.2340151555,0.2126523393,9.1305019994,5.0006592868,28.5399139900
56,18948.7275205401,0.2566587592,1.2357611427,0.2139714875,9.1305342111,28.9990160733,3.2892344728
57,18977.7265366134,0.3173738680,1.2341732842,0.2127646959,9.1305046540,5.0003223588,27.2858194574
58,18982.7268589722,0.2723397185,1.2358874228,0.2140636275,9.1305364376,30.9998426894,3.2880360055
59,19013.7267016616,0.2999665219,1.2339894236,0.2126284987,9.1305013700,5.0000569603,29.2878130373
60,19018.7267586219,0.2919283176,1.2357401362,0.2139505011,9.1305336673,28.2527751509,3.2882206708
61,19046.9795337729,0.2480991991,1.2341685282,0.2127710336,9.1305049236,5.7472834048,26.5397803092
62,19052.7268171777,0.2792083298,1.2358432596,0.2140293268,9.1305355986,30.4894380218,4.0350852715
63,19083.2162551995,0.3379322369,1.2340488281,0.2126681388,9.1305021502,5.0099786305,28.5662410190
64,19088.2262338300,0.3320193860,1.2357984109,0.2139886745,9.1305344438,28.7505134322,3.2958008250
65,19116.9767472622,0.2924423144,1.2341561501,0.2127553397,9.1305044979,5.0045092223,27.0387488146
66,19121.9812564845,0.2471281632,1.2358758297,0.2140586868,9.1305363317,30.9955375972,3.2895154256
67,19152.9767940817,0.2823077567,1.2339791516,0.2126233247,9.1305012745,5.0000515764,29.2840898383
68,19157.9768456581,0.2739476061,1.2357296257,0.2139452478,9.1305335623,28.4972267242,3.2887729557
69,19186.4740723823,0.3404470250,1.2342201314,0.2127969497,9.1305052867,5.5032819549,26.7010807538
70,19191.9773543372,0.2581439497,1.2358305329,0.2140228685,9.1305354578,29.9993428629,3.7913392741
71,19221.9766972002,0.3007228065,1.2340845065,0.2126995048,9.1305031107,5.0001114153,28.2863696503
72,19226.9768086154,0.2810510764,1.2358234171,0.2140138849,9.1305352217,29.7501317639,3.2883491898
73,19256.7269403793,0.2645558635,1.2340622437,0.2126878773,9.1305028756,5.0095141588,28.0395742435
74,19261.7364545381,0.2426436934,1.2358116077,0.2140107606,9.1305351700,29.9865505591,3.2909151202
75,19291.7230050972,0.3402758764,1.2341069938,0.2127110354,9.1305031806,5.0034473508,28.1039459298
76,19296.7264524480,0.3240393613,1.2358480084,0.2140263595,9.1305354078,29.7502202796,3.2899275696
77,19326.4766727276,0.3040892368,1.2340834863,0.2126984419,9.1305030758,5.0001184186,28.0384303476
78,19331.4767911462,0.2850179524,1.2358229632,0.2140131614,9.1305351992,29.7501940962,3.2882439858
79,19361.2269852424,0.2627907216,1.2340568731,0.2126843481,9.1305027902,5.0119741903,28.0396483724
80,19366.2389594326,0.2411899381,1.2358099746,0.2140100751,9.1305351538,29.9869749712,3.2913752506
81,19396.2259344039,0.3356860975,1.2340986337,0.2127057517,9.1305030934,5.0006068806,28.2703909277
82,19401.2265412845,0.3185617829,1.2358396426,0.2140212423,9.1305353099,29.7501544724,3.2874386974
83,19430.9766957568,0.3009265659,1.2340778090,0.2126951037,9.1305030022,5.0001074150,28.0386860754
84,19435.9768031718,0.2822711355,1.2358177324,0.2140101235,9.1305351289,29.7502576310,3.2883331941
85,19465.7270608028,0.2607164873,1.2340526651,0.2126820371,9.1305027348,5.0171487372,28.0398246643
86,19470.7442095400,0.2387235758,1.2358126837,0.2140131563,9.1305352292,29.9817058502,3.2923712204
87,19500.7259153902,0.3358875050,1.2340967752,0.2127049259,9.1305030714,5.0006197848,28.2649557307
88,19505.7265351750,0.3189988168,1.2358380191,0.2140205625,9.1305352915,29.7501827250,3.2874329586
89,19535.4767179000,0.2975202995,1.2340729646,0.2126925618,9.1305029478,5.0000996390,28.0389358219
90,19540.4768175390,0.2790998639,1.2358131566,0.2140077691,9.1305350754,29.7514123948,3.2884313580
91,19570.2282299338,0.2513871335,1.2340442989,0.2126777637,9.1305026347,5.2165767021,28.0402760038
92,19575.4448066360,0.3305274082,1.2358445737,0.2140244359,9.1305353225,29.7816937172,3.4174174221
93,19605.2265003532,0.3197276163,1.2340810138,0.2126960790,9.1305029598,5.0001944024,28.0691192193
94,19610.2266947556,0.3028420560,1.2358225350,0.2140120039,9.1305351381,29.9986763189,3.2877447554
95,19640.2253710745,0.3390207069,1.2340766741,0.2126906114,9.1305026916,5.0010563927,28.2758951078
96,19645.2264274672,0.3252601440,1.2358209504,0.2140081591,9.1305349593,29.2503009990,3.2875250467
97,19674.4767284662,0.2958010255,1.2341178183,0.2127275935,9.1305038109,5.0001761443,27.5386196983
98,19679.4769046105,0.2682616406,1.2358491008,0.2140372010,9.1305357995,30.2508943299,3.2885548824
99,19709.7277989404,0.2532539662,1.2340193428,0.2126591951,9.1305021782,5.1019697241,28.5396197868
100,19714.8297686645,0.2759775950,1.2358033748,0.2140020732,9.1305349403,29.3964435013,3.2957206550
101,19744.2262121658,0.3311626014,1.2341354056,0.2127357944,9.1305038661,5.0004555876,27.6819651170
102,19749.2266677534,0.3064977302,1.2358689772,0.2140465885,9.1305359679,30.2501528950,3.2876381119
103,19779.4768206484,0.2765099886,1.2340249555,0.2126601555,9.1305021852,5.0002431289,28.5392647669
104,19784.4770637773,0.2622928194,1.2357697096,0.2139784132,9.1305343763,29.4961209027,3.2890186060
105,19813.9731846801,0.3403302436,1.2341312471,0.2127316646,9.1305036863,5.0033416381,27.6126958965
106,19818.9765263182,0.3196435558,1.2358678274,0.2140441562,9.1305358614,30.2502390315,3.2899861841
107,19849.2267653497,0.2886962083,1.2340237760,0.2126580620,9.1305021179,5.0000689927,28.5392986152
108,19854.2268343424,0.2758047195,1.2357696006,0.2139769241,9.1305343298,28.9993240232,3.2886357462
109,19883.2261583656,0.3323840010,1.2341791619,0.2127688444,9.1305046678,5.0006080579,27.2841999531
110,19888.2267664235,0.2905075342,1.2358959798,0.2140692699,9.1305365530,30.9998828476,3.2878040836
111,19919.2266492710,0.3068720270,1.2339879914,0.2126282651,9.1305013454,5.0000679780,29.2875067014
112,19924.2267172491,0.2993525282,1.2357392145,0.2139505634,9.1305336544,28.2502587410,3.2879770289
113,19952.4769759900,0.2632219628,1.2341718114,0.2127731453,9.1305049678,5.7497724737,26.5395089218
114,19958.2267484638,0.2940230769,1.2358495285,0.2140337539,9.1305356850,30.2518012205,4.0371493653
115,19988.4785496842,0.2502828420,1.2339966871,0.2126429551,9.1305017810,5.1059864685,28.5405610435
116,19993.5845361527,0.2782993301,1.2357834288,0.2139871868,9.1305345765,28.8920773760,3.2951526045
117,20022.4766135288,0.3108715537,1.2341655833,0.2127615761,9.1305046032,5.0002996509,27.1795074996
118,20027.4769131796,0.2677558169,1.2358817070,0.2140617624,9.1305363959,30.9998122078,3.2882018211
119,20058.4767253874,0.2961867668,1.2339846386,0.2126271837,9.1305013462,5.0000510262,29.2880473052
120,20063.4767764136,0.2882082397,1.2357354369,0.2139492500,9.1305336428,28.2534056752,3.2883421045
121,20091.7301820888,0.2469683839,1.2341671638,0.2127718991,9.1305049453,5.7466394225,26.5399030869
122,20097.4768215114,0.2783077944,1.2358412887,0.2140296820,9.1305356082,29.9995429940,4.0344767270
123,20127.4763645054,0.3264743325,1.2341011274,0.2127099719,9.1305032638,5.0002947987,28.2851446369
124,20132.4766593040,0.3075052375,1.2358404618,0.2140244552,9.1305354278,29.7500948952,3.2876017442
125,20162.2267541993,0.2910172588,1.2340789023,0.2126981073,9.1305030967,5.0001188645,28.0387614906
126,20167.2268730637,0.2707471545,1.2358173384,0.2140122383,9.1305351917,29.7540187522,3.2886389920
127,20196.9808918160,0.2458348516,1.2340533448,0.2126853032,9.1305028218,5.2445326754,28.0400553606
128,20202.2254244914,0.3402690785,1.2358557846,0.2140312490,9.1305354104,29.7509508148,3.5280966503
129,20231.9763753062,0.3260439245,1.2340963558,0.2127063661,9.1305031780,5.0002817971,28.0375042072
130,20236.9766571033,0.3077643529,1.2358363905,0.2140213002,9.1305353504,29.7500988656,3.2875966974
