E,eta_h,d_amp,q_amp,h_amp,return_time_mean,return_time_cv,crossing_ratio,m_bar,capbind_frac,phi_bar,mid_frac_proxy
1.0000000000,0.0010000000,0.9913355378,0.7269430615,0.2778361871,0.0000000000,0.0000000000,1.0000000000,0.7955769129,0.0003555398,0.6765802030,0.0000444425
1.0000000000,0.0024500000,0.9913355379,0.7269453157,0.2809591951,1639.4985915288,0.0004319060,1.0000000000,0.8001358643,0.0010666193,0.6808054035,0.0000000000
1.0000000000,0.0039000000,0.9913355376,0.7269466892,0.2826680364,1034.0626801897,0.0002204697,1.0000000000,0.8306610069,0.0014221590,0.6893320592,0.0001333274
1.0000000000,0.0053500000,0.9913355374,0.7269471553,0.2847644852,756.3203034615,0.0009446483,1.0000000000,0.8138874479,0.0020887961,0.6846504767,0.0001333274
1.0000000000,0.0068000000,0.9913355372,0.7269466977,0.2862354134,596.7762368321,0.0014204695,1.0000000000,0.8171212188,0.0028443180,0.6866861883,0.0002666548
1.0000000000,0.0082500000,0.9913355369,0.7269453345,0.2876164077,492.7747359351,0.0015270613,1.0000000000,0.8123298189,0.0031554153,0.6837383100,0.0002666548
1.0000000000,0.0097000000,0.9913355367,0.7269430467,0.2866359079,419.9045881787,0.0002102543,1.0000000000,0.8090480540,0.0037776099,0.6832812921,0.0002222123
1.0000000000,0.0111500000,0.9913355364,0.7269397872,0.2874869996,366.0724501678,0.0001236573,1.0000000000,0.8178721631,0.0042664770,0.6854994330,0.0003555398
1.0000000000,0.0126000000,0.9913355362,0.7269357063,0.2891647599,324.3538140687,0.0016346798,1.0000000000,0.8115880843,0.0048442291,0.6838228655,0.0004888672
1.0000000000,0.0140500000,0.9913355360,0.7269306550,0.2896422654,291.6333118923,0.0004158605,1.0000000000,0.8176999508,0.0052886538,0.6857171558,0.0003555398
1.0000000000,0.0155000000,0.9913355357,0.7269246792,0.2897693471,264.3655800647,0.0020784845,1.0000000000,0.8114636595,0.0059108484,0.6839394058,0.0005333096
1.0000000000,0.0169500000,0.9913355355,0.7269178001,0.2862606982,240.7399481702,0.0002789612,1.0000000000,0.8106328910,0.0066219279,0.6838780966,0.0004444247
1.0000000000,0.0184000000,0.9913355352,0.7269100039,0.2886225500,222.8374450236,0.0002137926,1.0000000000,0.8143223609,0.0069330252,0.6844696940,0.0003999822
1.0000000000,0.0198500000,0.9913355349,0.7269011843,0.2875980526,206.2668788167,0.0003440720,1.0000000000,0.8113376796,0.0078218746,0.6839146606,0.0006221946
1.0000000000,0.0213000000,0.9913355348,0.7268917326,0.2874043801,192.2452734176,0.0002721441,1.0000000000,0.8160651225,0.0079552020,0.6853799353,0.0005333096
1.0000000000,0.0227500000,0.9913355345,0.7268812581,0.2843168001,179.0475907726,0.0003302033,1.0000000000,0.8132871800,0.0086662815,0.6845767713,0.0006666370
1.0000000000,0.0242000000,0.9913355342,0.7268699031,0.2830856739,168.0116877586,0.0000835799,1.0000000000,0.8131524858,0.0093773610,0.6848060726,0.0007999644
1.0000000000,0.0256500000,0.9913355340,0.7268576819,0.2824423828,158.3925383982,0.0000721075,1.0000000000,0.8173800195,0.0096884583,0.6861459557,0.0006221946
1.0000000000,0.0271000000,0.9913355338,0.7268445985,0.2821735166,149.9101765849,0.0004886936,1.0000000000,0.8142827153,0.0103106529,0.6852958765,0.0006666370
1.0000000000,0.0285500000,0.9913355335,0.7268306740,0.2826122923,142.4769324241,0.0004732531,1.0000000000,0.8123599872,0.0109772899,0.6849821159,0.0007999644
1.0000000000,0.0300000000,0.9913355333,0.7268159042,0.2851302809,136.2831975305,0.0005266859,1.0000000000,0.8127872761,0.0113328297,0.6846981084,0.0007999644
1.0266666667,0.0010000000,0.9913355022,0.7326463573,0.2665032515,0.0000000000,0.0000000000,1.0000000000,0.8399273683,0.0003555398,0.6865706361,0.0000000000
1.0266666667,0.0024500000,0.9913355021,0.7326485717,0.2695340163,1227.7995224996,0.0001014600,1.0000000000,0.7384510427,0.0014221590,0.6568625219,0.0000888849
1.0266666667,0.0039000000,0.9913355018,0.7326499225,0.2715458989,775.2380970726,0.0006552537,1.0000000000,0.7512863742,0.0021332385,0.6591133332,0.0000888849
1.0266666667,0.0053500000,0.9913355016,0.7326503975,0.2727665942,566.7429009384,0.0008648808,1.0000000000,0.7570497933,0.0028443180,0.6607210434,0.0002222123
1.0266666667,0.0068000000,0.9913355013,0.7326500050,0.2738544644,447.3221593401,0.0011892781,1.0000000000,0.7537011417,0.0035553975,0.6600080828,0.0003110973
1.0266666667,0.0082500000,0.9913355010,0.7326487242,0.2736611845,369.3073473945,0.0001398895,1.0000000000,0.7532354705,0.0043109195,0.6592614531,0.0005333096
1.0266666667,0.0097000000,0.9913355008,0.7326465563,0.2773548296,316.7313647025,0.0018961435,1.0000000000,0.7577804259,0.0049775566,0.6602469098,0.0004444247
1.0266666667,0.0111500000,0.9913355005,0.7326434973,0.2757785696,274.9063266736,0.0008996023,1.0000000000,0.7621319925,0.0056886361,0.6618757706,0.0003999822
1.0266666667,0.0126000000,0.9913355002,0.7326395461,0.2761528151,243.6825085406,0.0003039176,1.0000000000,0.7623591855,0.0063552731,0.6621652953,0.0003555398
1.0266666667,0.0140500000,0.9913355000,0.7326347229,0.2781331038,219.1085713905,0.0024956573,1.0000000000,0.7590192774,0.0074218924,0.6615055690,0.0008888494
1.0266666667,0.0155000000,0.9913354997,0.7326290019,0.2778490784,199.0635533544,0.0008754005,1.0000000000,0.7531795480,0.0081774143,0.6598258259,0.0007999644
1.0266666667,0.0169500000,0.9913354994,0.7326223998,0.2754924466,181.1431374938,0.0003384685,1.0000000000,0.7547920422,0.0087107240,0.6600472662,0.0006221946
1.0266666667,0.0184000000,0.9913354991,0.7326149171,0.2750650612,166.7777299212,0.0001772739,1.0000000000,0.7562606430,0.0095106884,0.6605527187,0.0006666370
1.0266666667,0.0198500000,0.9913354989,0.7326065574,0.2769869439,155.3889678715,0.0000955357,1.0000000000,0.7550472991,0.0102217679,0.6600475732,0.0008888494
1.0266666667,0.0213000000,0.9913354986,0.7325972194,0.2763217045,144.6666169238,0.0003421706,1.0000000000,0.7529876539,0.0110217324,0.6595696069,0.0004444247
1.0266666667,0.0227500000,0.9913354983,0.7325872390,0.2763845805,135.5188580729,0.0005363423,1.0000000000,0.7552466544,0.0117328119,0.6599974129,0.0008888494
1.0266666667,0.0242000000,0.9913354980,0.7325763077,0.2728498302,126.3745638525,0.0002653893,1.0000000000,0.7555624842,0.0126216613,0.6609108526,0.0008888494
1.0266666667,0.0256500000,0.9913354978,0.7325645239,0.2718345858,118.9945776984,0.0000733342,1.0000000000,0.7563222262,0.0132882983,0.6609287076,0.0008444069
1.0266666667,0.0271000000,0.9913354975,0.7325519052,0.2712759897,112.5281843237,0.0005912516,1.0000000000,0.7575697053,0.0139549353,0.6613695328,0.0010666193
1.0266666667,0.0285500000,0.9913354972,0.7325384530,0.2710672585,106.8091955614,0.0001320336,1.0000000000,0.7553501961,0.0147548998,0.6607327749,0.0010666193
1.0266666667,0.0300000000,0.9913354962,0.7325240807,0.2713797900,101.8000281233,0.0000000135,1.0000000000,0.7569394049,0.0156437492,0.6610920427,0.0019999111
1.0533333333,0.0010000000,0.9913354559,0.7384156670,0.2552255744,2477.4260462800,0.0000000000,1.0000000000,0.6888297848,0.0007555220,0.6349061732,0.0000888849
1.0533333333,0.0024500000,0.9913354559,0.7384178114,0.2582018615,1020.3338567175,0.0005671435,1.0000000000,0.7419209401,0.0014221590,0.6488838451,0.0000444425
1.0533333333,0.0039000000,0.9913354556,0.7384191545,0.2599442510,644.5669919589,0.0007304175,1.0000000000,0.7138105473,0.0025332207,0.6415832208,0.0001777699
1.0533333333,0.0053500000,0.9913354554,0.7384196476,0.2618558532,472.3249201027,0.0016581026,1.0000000000,0.7293316572,0.0031998578,0.6461180880,0.0001333274
1.0533333333,0.0068000000,0.9913354551,0.7384193049,0.2635657562,373.1998827825,0.0018175988,1.0000000000,0.7092989529,0.0046664593,0.6404520815,0.0003110973
1.0533333333,0.0082500000,0.9913354548,0.7384181116,0.2635272882,308.7430081741,0.0002024074,1.0000000000,0.7161564469,0.0053775388,0.6425600594,0.0002666548
1.0533333333,0.0097000000,0.9913354545,0.7384160675,0.2650885694,263.6565714475,0.0012646839,1.0000000000,0.7085759249,0.0060886183,0.6399702566,0.0003555398
1.0533333333,0.0111500000,0.9913354542,0.7384131685,0.2649962619,229.6839815657,0.0003015108,1.0000000000,0.7129657794,0.0071996800,0.6414837319,0.0004888672
1.0533333333,0.0126000000,0.9913354539,0.7384094156,0.2675342147,203.7647271533,0.0026277062,1.0000000000,0.7081939703,0.0078663171,0.6397419501,0.0004444247
1.0533333333,0.0140500000,0.9913354536,0.7384048053,0.2649143927,182.4443474019,0.0002889980,1.0000000000,0.7082886871,0.0089773788,0.6401271703,0.0006221946
1.0533333333,0.0155000000,0.9913354533,0.7383993424,0.2667229929,165.7668946273,0.0029958760,1.0000000000,0.7067647988,0.0096440158,0.6393111797,0.0010666193
1.0533333333,0.0169500000,0.9913354530,0.7383930264,0.2674149907,152.4281465675,0.0003643967,1.0000000000,0.7144584829,0.0103995378,0.6414560613,0.0011555042
1.0533333333,0.0184000000,0.9913354527,0.7383858553,0.2640341790,139.1775496915,0.0002063962,1.0000000000,0.7139056373,0.0113772721,0.6412803001,0.0008888494
1.0533333333,0.0198500000,0.9913354524,0.7383778513,0.2640659254,129.1050248446,0.0005666477,1.0000000000,0.7097857475,0.0124438914,0.6403842796,0.0008888494
1.0533333333,0.0213000000,0.9913354521,0.7383690027,0.2656071196,120.9055707600,0.0006025295,1.0000000000,0.7085380085,0.0131549709,0.6397288767,0.0009777343
1.0533333333,0.0227500000,0.9913354518,0.7383593208,0.2651647607,113.1139855495,0.0006306166,1.0000000000,0.7085895343,0.0141771477,0.6400184315,0.0009332919
1.0533333333,0.0242000000,0.9913354515,0.7383488099,0.2653940605,106.4633158400,0.0005861457,1.0000000000,0.7100624639,0.0148882272,0.6402109330,0.0009777343
1.0533333333,0.0256500000,0.9913354512,0.7383374829,0.2615116749,99.3889726999,0.0001751686,1.0000000000,0.7122057670,0.0159104040,0.6412325437,0.0010666193
